Timestamp,acc.z,pm.vbat,stabilizer.intToOut,stabilizer.thrust,stateEstimate.az
48763,1.0828973054885864,3.320234775543213,48175862,52000.0,0.004739642143249512
48773,1.0584741830825806,3.3413491249084473,48185743,52000.0,0.03129076957702637
48783,1.049752116203308,3.373020648956299,48195633,52000.0,0.012793779373168945
48793,1.0494667291641235,3.3782992362976074,48205521,52000.0,0.020575284957885742
48803,1.0775465965270996,3.3782992362976074,48215404,52000.0,0.059401631355285645
48813,1.0516557693481445,3.373020648956299,48225305,52000.0,0.042342424392700195
48823,1.0122014284133911,3.3782992362976074,48235189,52000.0,-0.017077147960662842
48833,0.9782777428627014,3.3677420616149902,48244076,52000.0,-0.052593886852264404
48843,0.9532662034034729,3.383577823638916,48253961,52000.0,-0.09710884094238281
48853,1.0306116342544556,3.373020648956299,48263851,52000.0,-0.04569453001022339
48863,1.1085950136184692,3.373020648956299,48273735,52000.0,-2.8073787689208984e-05
48873,1.104483962059021,3.3782992362976074,48283625,52000.0,-0.020582497119903564
48883,1.091963768005371,3.373020648956299,48293515,52000.0,-0.05597102642059326
48893,1.0781580209732056,3.3782992362976074,48303398,52000.0,-0.08697569370269775
48903,1.100908637046814,3.373020648956299,48313295,52000.0,-0.07911401987075806
48913,1.0871083736419678,3.3624634742736816,48323178,52000.0,-0.08185005187988281
48923,1.117836833000183,3.3624634742736816,48333064,52000.0,-0.029216885566711426
48933,1.0988736152648926,3.346627712249756,48342954,52000.0,-0.01454150676727295
48943,1.12590754032135,3.3255133628845215,48352842,52000.0,0.018269658088684082
48953,1.1178511381149292,3.33079195022583,48362725,52000.0,0.06540024280548096
48963,1.1282676458358765,3.3255133628845215,48372617,52000.0,0.09639298915863037
48973,1.2003440856933594,3.320234775543213,48382496,52000.0,0.1804286241531372
48983,1.218326210975647,3.3255133628845215,48392389,52000.0,0.22101271152496338
48993,1.1932560205459595,3.3255133628845215,48402273,52000.0,0.18865299224853516
